vertex,score
272,5.570298498305003E-4
273,0.001082282456565908
274,4.925430077445289E-4
275,5.305119433529947E-4
276,6.873661546648137E-4
277,8.122120643086679E-4
278,5.873888995244235E-4
279,0.0017138802208240204
280,9.099328991043242E-4
281,6.79011549604733E-4
282,8.49740110104716E-4
283,0.0010962846619338442
284,9.696146864682426E-4
285,0.0011379789063669455
286,0.0010213765084202237
287,5.123552848079536E-4
288,4.4428555901503483E-4
289,9.004997242795516E-4
290,0.0013167216553755683
291,5.447449422310867E-4
292,4.90774032142579E-4
293,5.646307107684838E-4
294,4.91270484939313E-4
295,6.134955302229432E-4
296,7.866561027860975E-4
297,5.6483268759642E-4
298,0.00140663412873876
299,7.250940263041224E-4
300,7.644169318093151E-4
301,8.952226738225469E-4
302,8.897753902644134E-4
303,0.0012069677547756025
304,0.0012676915436959585
305,0.0015095360435789936
306,4.687437448722249E-4
307,6.948807481989325E-4
308,3.178806758813241E-4
309,4.4971205875417536E-4
310,0.0013213294563177529
311,5.942699978862378E-4
312,0.0013890017185062354
313,9.194831670497865E-4
314,2.5785982462858816E-4
315,6.625011576167003E-4
316,0.0016815555094009478
317,7.869370193936162E-4
318,0.001280623738460131
319,9.61652734955356E-4
320,0.0016406968972177507
321,4.602263003657841E-4
322,9.826027412870343E-4
323,9.362157896695407E-4
324,0.001392722330649291
325,0.0012290165063686487
326,5.463940199224959E-4
327,5.859414515290765E-4
328,7.375747642189771E-4
329,6.390845261047995E-4
330,0.0011380335262337691
331,4.982777583137815E-4
332,9.380967924866065E-4
333,7.76385920282271E-4
334,1.5000000000000001E-4
335,2.6634375232481133E-4
336,9.559863461923875E-4
337,0.001096235606856808
338,0.0010943258180939137
339,7.657778488115745E-4
340,0.0011356709031383444
341,0.0012176145292642731
342,0.0015049296526554966
343,5.950206224414742E-4
344,7.201913967867402E-4
345,5.984624676319246E-4
346,0.0014427123129080093
347,0.0012879205057249885
348,3.570584256913393E-4
349,6.584640821039827E-4
350,8.050541520441455E-4
351,8.99033976287156E-4
352,0.0017750833314536607
353,2.8148618226109723E-4
354,7.553258197115635E-4
355,8.665185744440709E-4
356,5.097890958928171E-4
357,8.953343319733289E-4
358,7.88377870882479E-4
359,0.0010781672743238762
360,9.495178456283935E-4
361,0.0017825475425068105
362,0.0022580763150847655
363,6.429595528501295E-4
364,6.96293966896988E-4
365,0.0010042495787975208
366,4.634916024532995E-4
367,4.2690264845112575E-4
368,8.946447293509336E-4
369,0.001897243247044527
370,7.876120347024844E-4
371,0.0015437036338513674
372,0.0014126893751284634
373,8.483180504648186E-4
374,6.752851862860496E-4
375,6.990308852982436E-4
376,0.0010106749863002147
377,4.829247149873455E-4
378,7.730074454237895E-4
379,0.0010116598993173403
380,4.396817055563706E-4
381,0.0016557248532712348
382,8.895691244937602E-4
383,6.363212146409855E-4
384,0.0010166760687040164
385,7.866964702142006E-4
386,0.0012667206946730292
387,8.332298044840568E-4
388,9.5414964061926E-4
389,5.513915208492505E-4
390,0.0011725607170981738
391,0.0016111993010781106
392,0.0012062118636693047
393,0.001074727378032575
394,0.0012666360279439016
395,0.001629202659435499
396,5.551984725820916E-4
397,0.0011235499701519125
398,0.0015468962613265473
399,9.311839899382936E-4
400,8.450704564145759E-4
401,1.9963488553463633E-4
402,0.002213120660160389
403,9.140746344408093E-4
404,3.8503696735968504E-4
405,8.937620100681184E-4
406,0.0015277923551402573
407,0.001341064251302444
408,0.0011788495306500162
409,6.893755193283235E-4
410,0.001079890340615675
411,5.750383808811113E-4
412,0.0017092851647967178
413,0.0012080019517959463
414,8.254720074647343E-4
415,0.0010032426301328876
416,6.759707624627367E-4
417,4.6146675073032584E-4
418,0.0010194993839817462
